Experiment CUSExperiment_CogVariant
Testing the Cognitive2 variant..
Experiment started 2015-04-21 000807

######################################################
Experiment Defaults:
                            setAgentType :,  	2
                        setHeterogeneity :,  	False
Experiment Parameter Variations:
                   setServicesImportance :,  	[0.0, 0.2, 0.4, 0.6000000000000001, 0.8, 1.0, 1.2000000000000002, 1.4000000000000001, 1.6, 1.8, 2.0]
######################################################
*********************Job Settings*********************
                   setServicesImportance :	,0.0
 timestamp, job ID, setServicesImportance, packing, reduction
 2015-04-21 000807, 1,                  0.0,0.1678,0.2319
 2015-04-21 000811, 1,                  0.0,0.1666,0.2346
 2015-04-21 000815, 1,                  0.0,0.1681,0.2316
 2015-04-21 000820, 1,                  0.0,0.1483,0.2358
 2015-04-21 000824, 1,                  0.0,0.1718,0.2323
 2015-04-21 000828, 1,                  0.0,0.1723,0.2337
 2015-04-21 000832, 1,                  0.0,0.1604,0.2364
 2015-04-21 000837, 1,                  0.0,0.1597,0.2343
 2015-04-21 000841, 1,                  0.0,0.1562,0.2349
 2015-04-21 000845, 1,                  0.0,0.1639,0.2368
 2015-04-21 000850, 1,                  0.0,0.1800,0.2330
 2015-04-21 000854, 1,                  0.0,0.1616,0.2372
 2015-04-21 000858, 1,                  0.0,0.1755,0.2355
 2015-04-21 000902, 1,                  0.0,0.1733,0.2344
 2015-04-21 000907, 1,                  0.0,0.1688,0.2378
 2015-04-21 000911, 1,                  0.0,0.1493,0.2377
 2015-04-21 000915, 1,                  0.0,0.1686,0.2339
 2015-04-21 000919, 1,                  0.0,0.1490,0.2374
 2015-04-21 000924, 1,                  0.0,0.1681,0.2342
 2015-04-21 000928, 1,                  0.0,0.1777,0.2325
 2015-04-21 000932, 1,                  0.0,0.1824,0.2334
 2015-04-21 000936, 1,                  0.0,0.1498,0.2351
 2015-04-21 000940, 1,                  0.0,0.1663,0.2355
 2015-04-21 000945, 1,                  0.0,0.1458,0.2347
 2015-04-21 000949, 1,                  0.0,0.1644,0.2367
 2015-04-21 000953, 1,                  0.0,0.1621,0.2350
 2015-04-21 000957, 1,                  0.0,0.1703,0.2346
 2015-04-21 001001, 1,                  0.0,0.1547,0.2361
 2015-04-21 001005, 1,                  0.0,0.1574,0.2341
 2015-04-21 001010, 1,                  0.0,0.1661,0.2359
averages: ,,                  0.0,0.1642,0.2349
standard deviations: ,,                  0.0,0.0095,0.0017
*********************Job Settings*********************
                   setServicesImportance :	,0.2
 timestamp, job ID, setServicesImportance, packing, reduction
 2015-04-21 001014, 2,                  0.2,0.2545,0.2230
 2015-04-21 001018, 2,                  0.2,0.2738,0.2225
 2015-04-21 001022, 2,                  0.2,0.2787,0.2196
 2015-04-21 001027, 2,                  0.2,0.2671,0.2180
 2015-04-21 001031, 2,                  0.2,0.2708,0.2179
 2015-04-21 001035, 2,                  0.2,0.2564,0.2230
 2015-04-21 001039, 2,                  0.2,0.2502,0.2228
 2015-04-21 001043, 2,                  0.2,0.2569,0.2199
 2015-04-21 001048, 2,                  0.2,0.2611,0.2211
 2015-04-21 001052, 2,                  0.2,0.2574,0.2222
 2015-04-21 001056, 2,                  0.2,0.2614,0.2194
 2015-04-21 001100, 2,                  0.2,0.2601,0.2206
 2015-04-21 001104, 2,                  0.2,0.2574,0.2221
 2015-04-21 001109, 2,                  0.2,0.2478,0.2249
 2015-04-21 001113, 2,                  0.2,0.2636,0.2206
 2015-04-21 001118, 2,                  0.2,0.2661,0.2185
 2015-04-21 001122, 2,                  0.2,0.2686,0.2196
 2015-04-21 001126, 2,                  0.2,0.2369,0.2227
 2015-04-21 001131, 2,                  0.2,0.2767,0.2204
 2015-04-21 001135, 2,                  0.2,0.2567,0.2235
