Experiment CUSExperiment_Hetero
Sweep across services proximity importance, using heterogeneous agents..
Experiment started 2015-04-21 174913

######################################################
Experiment Defaults:
                        setHeterogeneity :,  	True
Experiment Parameter Variations:
                            setAgentType :,  	[0, 1, 2]
                   setServicesImportance :,  	[0.0, 0.2, 0.4, 0.6000000000000001, 0.8, 1.0, 1.2000000000000002, 1.4000000000000001, 1.6, 1.8, 2.0]
######################################################
*********************Job Settings*********************
                            setAgentType :	,0
                   setServicesImportance :	,0.0
 timestamp, job ID, setAgentType, setServicesImportance, packing, reduction
 2015-04-21 174913, 1,                    0,                  0.0,0.2740,0.2261
 2015-04-21 174918, 1,                    0,                  0.0,0.3441,0.2182
 2015-04-21 174922, 1,                    0,                  0.0,0.2626,0.2253
 2015-04-21 174927, 1,                    0,                  0.0,0.3314,0.2197
 2015-04-21 174931, 1,                    0,                  0.0,0.3136,0.2195
 2015-04-21 174936, 1,                    0,                  0.0,0.1938,0.2351
 2015-04-21 174940, 1,                    0,                  0.0,0.3050,0.2217
 2015-04-21 174945, 1,                    0,                  0.0,0.1804,0.2341
 2015-04-21 174949, 1,                    0,                  0.0,0.3025,0.2215
 2015-04-21 174953, 1,                    0,                  0.0,0.3530,0.2126
 2015-04-21 174958, 1,                    0,                  0.0,0.2916,0.2235
 2015-04-21 175003, 1,                    0,                  0.0,0.2698,0.2249
 2015-04-21 175007, 1,                    0,                  0.0,0.3257,0.2154
 2015-04-21 175011, 1,                    0,                  0.0,0.3946,0.2091
 2015-04-21 175016, 1,                    0,                  0.0,0.2965,0.2230
 2015-04-21 175020, 1,                    0,                  0.0,0.3453,0.2184
 2015-04-21 175025, 1,                    0,                  0.0,0.3470,0.2182
 2015-04-21 175029, 1,                    0,                  0.0,0.2757,0.2253
 2015-04-21 175034, 1,                    0,                  0.0,0.3272,0.2196
 2015-04-21 175038, 1,                    0,                  0.0,0.3864,0.2123
 2015-04-21 175043, 1,                    0,                  0.0,0.3460,0.2153
 2015-04-21 175048, 1,                    0,                  0.0,0.3047,0.2213
 2015-04-21 175052, 1,                    0,                  0.0,0.2683,0.2249
 2015-04-21 175057, 1,                    0,                  0.0,0.2245,0.2311
