Experiment CUSExperiment_Main
Sweep across services proximity importance.
Experiment started 2015-04-20 022217

######################################################
Experiment Defaults:
                        setHeterogeneity :,  	False
Experiment Parameter Variations:
                            setAgentType :,  	[0, 1]
                   setServicesImportance :,  	[0.0, 0.2, 0.4, 0.6000000000000001, 0.8, 1.0, 1.2000000000000002, 1.4000000000000001, 1.6, 1.8, 2.0]
######################################################
*********************Job Settings*********************
                            setAgentType :	,0
                   setServicesImportance :	,0.0
 timestamp, job ID, setAgentType, setServicesImportance, packing, reduction
 2015-04-20 022217, 1,                    0,                  0.0,0.0505,0.2460
 2015-04-20 022221, 1,                    0,                  0.0,0.0423,0.2452
 2015-04-20 022226, 1,                    0,                  0.0,0.0450,0.2449
 2015-04-20 022230, 1,                    0,                  0.0,0.0438,0.2451
 2015-04-20 022234, 1,                    0,                  0.0,0.0500,0.2460
 2015-04-20 022239, 1,                    0,                  0.0,0.0547,0.2462
 2015-04-20 022243, 1,                    0,                  0.0,0.0465,0.2453
 2015-04-20 022247, 1,                    0,                  0.0,0.0473,0.2455
 2015-04-20 022251, 1,                    0,                  0.0,0.0517,0.2454
 2015-04-20 022256, 1,                    0,                  0.0,0.0468,0.2463
 2015-04-20 022300, 1,                    0,                  0.0,0.0537,0.2469
 2015-04-20 022304, 1,                    0,                  0.0,0.0416,0.2459
 2015-04-20 022309, 1,                    0,                  0.0,0.0433,0.2449
 2015-04-20 022313, 1,                    0,                  0.0,0.0478,0.2456
 2015-04-20 022317, 1,                    0,                  0.0,0.0443,0.2456
 2015-04-20 022321, 1,                    0,                  0.0,0.0512,0.2465
 2015-04-20 022326, 1,                    0,                  0.0,0.0468,0.2449
 2015-04-20 022330, 1,                    0,                  0.0,0.0460,0.2452
 2015-04-20 022334, 1,                    0,                  0.0,0.0495,0.2462
 2015-04-20 022338, 1,                    0,                  0.0,0.0493,0.2458
 2015-04-20 022343, 1,                    0,                  0.0,0.0436,0.2452
 2015-04-20 022347, 1,                    0,                  0.0,0.0530,0.2458
 2015-04-20 022351, 1,                    0,                  0.0,0.0542,0.2458
 2015-04-20 022356, 1,                    0,                  0.0,0.0505,0.2452
 2015-04-20 022400, 1,                    0,                  0.0,0.0493,0.2451
 2015-04-20 022405, 1,                    0,                  0.0,0.0478,0.2457
 2015-04-20 022409, 1,                    0,                  0.0,0.0470,0.2458
 2015-04-20 022413, 1,                    0,                  0.0,0.0443,0.2459
 2015-04-20 022418, 1,                    0,                  0.0,0.0465,0.2464
 2015-04-20 022423, 1,                    0,                  0.0,0.0493,0.2465
averages: ,,                    0,                  0.0,0.0479,0.2457
standard deviations: ,,                    0,                  0.0,0.0035,0.0005
*********************Job Settings*********************
                            setAgentType :	,0
                   setServicesImportance :	,0.2
 timestamp, job ID, setAgentType, setServicesImportance, packing, reduction
 2015-04-20 022427, 2,                    0,                  0.2,0.1037,0.2416
 2015-04-20 022431, 2,                    0,                  0.2,0.1304,0.2384
 2015-04-20 022435, 2,                    0,                  0.2,0.1349,0.2406
 2015-04-20 022440, 2,                    0,                  0.2,0.1104,0.2417
 2015-04-20 022444, 2,                    0,                  0.2,0.0869,0.2435
 2015-04-20 022448, 2,                    0,                  0.2,0.1106,0.2419
 2015-04-20 022453, 2,                    0,                  0.2,0.1057,0.2428
 2015-04-20 022457, 2,                    0,                  0.2,0.1156,0.2390
 2015-04-20 022501, 2,                    0,                  0.2,0.0859,0.2424
 2015-04-20 022506, 2,                    0,                  0.2,0.1193,0.2405
 2015-04-20 022510, 2,                    0,                  0.2,0.1126,0.2403
 2015-04-20 022515, 2,                    0,                  0.2,0.1052,0.2415
 2015-04-20 022519, 2,                    0,                  0.2,0.0856,0.2421
 2015-04-20 022523, 2,                    0,                  0.2,0.1248,0.2395
 2015-04-20 022528, 2,                    0,                  0.2,0.1082,0.2418
 2015-04-20 022532, 2,                    0,                  0.2,0.1144,0.2401
 2015-04-20 022536, 2,                    0,                  0.2,0.0990,0.2424
 2015-04-20 022541, 2,                    0,                  0.2,0.0988,0.2411
 2015-04-20 022545, 2,                    0,                  0.2,0.1386,0.2391
 2015-04-20 022549, 2,                    0,                  0.2,0.0854,0.2424
 2015-04-20 022553, 2,                    0,                  0.2,0.0859,0.2425
 2015-04-20 022558, 2,                    0,                  0.2,0.1052,0.2423
 2015-04-20 022602, 2,                    0,                  0.2,0.1040,0.2418
 2015-04-20 022607, 2,                    0,                  0.2,0.0913,0.2407
 2015-04-20 022611, 2,                    0,                  0.2,0.0953,0.2417
 2015-04-20 022615, 2,                    0,                  0.2,0.0921,0.2435
 2015-04-20 022620, 2,                    0,                  0.2,0.0946,0.2414
 2015-04-20 022624, 2,                    0,                  0.2,0.1136,0.2403
 2015-04-20 022628, 2,                    0,                  0.2,0.1156,0.2415
 2015-04-20 022633, 2,                    0,                  0.2,0.1146,0.2383
averages: ,,                    0,                  0.2,0.1063,0.2412
standard deviations: ,,                    0,                  0.2,0.0145,0.0014
*********************Job Settings*********************
                            setAgentType :	,0
                   setServicesImportance :	,0.4
 timestamp, job ID, setAgentType, setServicesImportance, packing, reduction
 2015-04-20 022637, 3,                    0,                  0.4,0.4871,0.1969
 2015-04-20 022641, 3,                    0,                  0.4,0.4710,0.2010
 2015-04-20 022646, 3,                    0,                  0.4,0.5153,0.1950
 2015-04-20 022650, 3,                    0,                  0.4,0.5475,0.1937
 2015-04-20 022654, 3,                    0,                  0.4,0.4228,0.2060
 2015-04-20 022659, 3,                    0,                  0.4,0.5015,0.1988
 2015-04-20 022703, 3,                    0,                  0.4,0.5054,0.1975
 2015-04-20 022708, 3,                    0,                  0.4,0.4567,0.2003
 2015-04-20 022712, 3,                    0,                  0.4,0.5153,0.1986
 2015-04-20 022716, 3,                    0,                  0.4,0.4520,0.2035
 2015-04-20 022721, 3,                    0,                  0.4,0.4426,0.2020
 2015-04-20 022725, 3,                    0,                  0.4,0.5433,0.1922
 2015-04-20 022729, 3,                    0,                  0.4,0.4713,0.2003
 2015-04-20 022734, 3,                    0,                  0.4,0.4606,0.2036
 2015-04-20 022738, 3,                    0,                  0.4,0.5354,0.1936
 2015-04-20 022742, 3,                    0,                  0.4,0.3881,0.2127
 2015-04-20 022747, 3,                    0,                  0.4,0.4319,0.2044
 2015-04-20 022751, 3,                    0,                  0.4,0.5366,0.1950
 2015-04-20 022755, 3,                    0,                  0.4,0.4248,0.2080
 2015-04-20 022800, 3,                    0,                  0.4,0.4391,0.2047
